Genero;Especie;species;Clase
Abudefduf;troscheli;Abudefduf troscheli;fish
Acanthaster;ellisi;Acanthaster ellisi;invert
Alphestes;immaculatus;Alphestes immaculatus;fish
Antipathes;galapagensis;Antipathes galapagensis;invert
Apogon;retrosella;Apogon retrosella;fish
Asteropsis;carinifera;Asteropsis carinifera;invert
Balistes;polylepis;Balistes polylepis;fish
Bodianus;diplotaenia;Bodianus diplotaenia;fish
Calamus;brachysomus;Calamus brachysomus;fish
Caranx;caballus;Caranx caballus;fish
Caulolatilus;princeps;Caulolatilus princeps;fish
Centrostephanus;coronatus;Centrostephanus coronatus;invert
Cephalopholis;panamensis;Cephalopholis panamensis;fish
Chaetodon;humeralis;Chaetodon humeralis;fish
Chama;spp;Chama spp;invert
Choromytilus;chorus;Choromytilus chorus;invert
Chromis;atrilobata;Chromis atrilobata;fish
Chromis;limbaughi;Chromis limbaughi;fish
Cirrhitichthys;oxycephalus;Cirrhitichthys oxycephalus;fish
Cirrhitus;rivulatus;Cirrhitus rivulatus;fish
Diadema;mexicanum;Diadema mexicanum;invert
Diodon;holocanthus;Diodon holocanthus;fish
Diodon;hystrix;Diodon hystrix;fish
Diplobatis;ommata;Diplobatis ommata;fish
Echineaster;tenuispina;Echineaster tenuispina;invert
Epinephelus;labriformis;Epinephelus labriformis;fish
Eucidaris;thouarsii;Eucidaris thouarsii;invert
Girella;simplicidens;Girella simplicidens;fish
Gorgoniidae;spp;Gorgoniidae spp;invert
Gymnothorax;castaneus;Gymnothorax castaneus;fish
Haemulon;flavolineatum;Haemulon flavolineatum;fish
Haemulon;maculicauda;Haemulon maculicauda;fish
Haemulon;sexfasciatum;Haemulon sexfasciatum;fish
Halichoeres;chierchiae;Halichoeres chierchiae;fish
Halichoeres;dispilus;Halichoeres dispilus;fish
Halichoeres;nicholsi;Halichoeres nicholsi;fish
Halichoeres;notospilus;Halichoeres notospilus;fish
Halichoeres;semicinctus;Halichoeres semicinctus;fish
Heliaster;kubiniji;Heliaster kubiniji;invert
Hexaplex;nigritus;Hexaplex nigritus;invert
Holacanthus;passer;Holacanthus passer;fish
Holothuroidea;spp;Holothuroidea spp;invert
Hyotissa;hyotis;Hyotissa hyotis;invert
Isostichopus;fuscus;Isostichopus fuscus;invert
Johnrandalia;nigrirostris;Johnrandalia nigrirostris;fish
Kyphosus;analogus;Kyphosus analogus;fish
Leiaster;teres;Leiaster teres;invert
Lutjanus;argentiventris;Lutjanus argentiventris;fish
Microspathodon;dorsalis;Microspathodon dorsalis;invert
Mithrodia;bradleyi;Mithrodia bradleyi;invert
Muricanthus;ambiguus;Muricanthus ambiguus;invert
Muricanthus;princeps;Muricanthus princeps;invert
Mycteroperca;rosacea;Mycteroperca rosacea;fish
Myripristis;leiognathus;Myripristis leiognathus;fish
Narcine;entemedor;Narcine entemedor;fish
Nicholsina;denticulata;Nicholsina denticulata;invert
Nidorellia;armata;Nidorellia armata;invert
Nodipecten;subnodosus;Nodypecten subnodosus;invert
Octopus;spp;Octopus spp;invert
Ophioblennius;steindachneri;Ophioblennius steindachneri;fish
Panulirus;inflatus;Panulirus inflatus;invert
Paralabrax;maculatofasciatus;Paralabrax maculatofasciatus;fish
Paranthias;colonus;Paranthias colonus;fish
Pareques;fuscovittatus;Pareques fuscovittatus;fish
Pentaceraster;cumingi;Pentaceraster cumingi;invert
Pharia;pyramidata;Pharia pyramidata;invert
Phataria;unifascialis;Phataria unifascialis;invert
Phyllonotus;erythrostomus;Phyllonotus erythrostomus;invert
Pinctada;mazatlanica;Pinctada mazatlanica;invert
Pinna;rugosa;Pinna rugosa;invert
Pomacanthus;zonipectus;Pomacanthus zonipectus;fish
Prionurus;punctatus;Prionurus punctatus;fish
Pteria;sterna;Pteria sterna;invert
Scarus;compressus;Scarus compressus;fish
Scarus;ghoban;Scarus ghoban;fish
Scarus;rubroviolaceus;Scarus rubroviolaceus;fish
Scorpaena;mystes;Scorpaena mystes;fish
Seriola;lalandi;Seriola lalandi;fish
Serranus;psittacinus;Serranus psittacinus;fish
Sphoeroides;lobatus;Sphoeroides lobatus;fish
Spondylus;calcifer;Spondylus calcifer;invert
Stegastes;flavilatus;Stegastes flavilatus;fish
Stegastes;rectifraenum;Stegastes rectifraenum;fish
Strombus;galeatus;Strombus galeatus;invert
Sufflamen;verres;Sufflamen verres;fish
Thalassoma;lucasanum;Thalassoma lucasanum;fish
Toxopneustes;roseus;Toxopneustes roseus;invert
Tripneustes;depressus;Tripneustes depressus;invert
Urobatis;concentricus;Urobatis concentricus;fish
