species;Genero;Especie;Clase
Abudefduf troscheli;Abudefduf;troscheli;fish
Alphestes immaculatus;Alphestes;immaculatus;fish
Anisotremus davidsoni;Anisotremus;davidsoni;fish
Antipathes galapagensis;Antipathes;galapagensis;invert
Apogon pacifici;Apogon;pacifici;fish
Apogon retrosella;Apogon;retrosella;fish
Asteropsis carinifera;Asteropsis;carinifera;invert
Atrina spp;Atrina;spp;invert
Balistes polylepis;Balistes;polylepis;fish
Bodianus diplotaenia;Bodianus;diplotaenia;fish
Canthigaster punctatissima;Canthigaster;punctatissima;fish
Centrostephanus coronatus;Centrostephanus;coronatus;invert
Cephalopholis panamensis;Cephalopholis;panamensis;fish
Chaetodon humeralis;Chaetodon;humeralis;fish
Chama spp;Chama;spp;invert
Choromytilus chorus;Choromytilus;chorus;invert
Chromis atrilobata;Chromis;atrilobata;fish
Chromis limbaughi;Chromis;limbaughi;fish
Cirrhitichthys oxycephalus;Cirrhitichthys;oxycephalus;fish
Cirrhitus rivulatus;Cirrhitus;rivulatus;fish
Diadema mexicanum;Diadema;mexicanum;invert
Diodon holocanthus;Diodon;holocanthus;fish
Diodon hystrix;Diodon;hystrix;fish
Echinaster tenuispina;Echinaster;tenuispina;invert
Epinephelus labriformis;Epinephelus;labriformis;fish
Eucidaris thouarsii;Eucidaris;thouarsii;invert
Fistularia commersonii;Fistularia;commersonii;fish
Girella simplicidens;Girella;simplicidens;fish
Gorgoniidae spp;Gorgoniidae;spp;invert
Gymnothorax castaneus;Gymnothorax;castaneus;fish
Gymnothorax dovii;Gymnothorax;dovii;fish
Haemulon maculicauda;Haemulon;maculicauda;fish
Haemulon sexfasciatum;Haemulon;sexfasciatum;fish
Halichoeres chierchiae;Halichoeres;chierchiae;fish
Halichoeres dispilus;Halichoeres;dispilus;fish
Halichoeres nicholsi;Halichoeres;nicholsi;fish
Halichoeres notospilus;Halichoeres;notospilus;fish
Halichoeres semicinctus;Halichoeres;semicinctus;fish
Heliaster kubiniji;Heliaster;kubiniji;invert
Holacanthus passer;Holacanthus;passer;fish
Hyotissa hyotis;Hyotissa;hyotis;invert
Isostichopus fuscus;Isostichopus;fuscus;invert
Johnrandalia nigrirostris;Johnrandalia;nigrirostris;fish
Kyphosus analogus;Kyphosus;analogus;fish
Lutjanus argentiventris;Lutjanus;argentiventris;fish
Microspathodon dorsalis;Microspathodon;dorsalis;fish
Mithrodia bradley;Mithrodia;bradleyi;invert
Muraena lentijinosa;Muraena;lentiginosa;fish
Muricanthus nigritus;Muricanthus;nigritus;invert
Muricanthus princeps;Muricanthus;princeps;invert
Mycteroperca jordani;Mycteroperca;jordani;fish
Mycteroperca rosacea;Mycteroperca;rosacea;fish
Nicholsina denticulata;Nicholsina;denticulata;fish
Nidorellia armata;Nidorellia;armata;invert
Octopus bimaculatus;Octopus;bimaculatus;invert
Octopus spp;Octopus;spp;invert
Ophioblennius steindachneri;Ophioblennius;steindachneri;fish
Otros pepinos;Otros;pepinos;invert
Panulirus interruptus;Panulirus;interruptus;invert
Paranthias colonus;Paranthias;colonus;fish
Pareques fuscovittatus;Pareques;fuscovittatus;fish
Pentaceraster cumingi;Pentaceraster;cumingi;invert
Pharia pyramidata;Pharia;pyramidata;invert
Phataria unifascialis;Phataria;unifascialis;invert
Pinctada mazatlanica;Pinctada;mazatlanica;invert
Pinna rugosa;Pinna;rugosa;invert
Pleuroploca princeps;Pleuroploca;princeps;invert
Pomacanthus zonipectus;Pomacanthus;zonipectus;fish
Prionurus punctatus;Prionurus;punctatus;fish
Pteria sterna;Pteria;sterna;invert
Scarus compressus;Scarus;compressus;fish
Scarus ghoban;Scarus;ghoban;fish
Scorpaena mystes;Scorpaena;mystes;fish
Seriola lalandi;Seriola;lalandi;fish
Serranus psittacinus;Serranus;psittacinus;fish
Spondylus calcifer;Spondylus;calcifer;invert
spondylus princeps;Spondylus;princeps;invert
Stegastes acapulcoensis;Stegastes;acapulcoensis;fish
Stegastes rectifraenum;Stegastes;rectifraenum;fish
Sufflamen verres;Sufflamen;verres;fish
Thalassoma lucasanum;Thalassoma;lucasanum;fish
Toxopneustes roseus;Toxopneustes;roseus;invert
Tripneustes depressus;Tripneustes;depressus;invert
Acanthaster ellisi;Acanthaster;ellisi;invert
Calamus brachysomus;Calamus;brachysomus;fish
Caranx caballus;Caranx;caballus;fish
Caulolatilus princeps;Caulolatilus;princeps;fish
Diplobatis ommata;Diplobatis;ommata;fish
Echineaster tenuispina;Echineaster;tenuispina;invert
Haemulon flavolineatum;Haemulon;flavolineatum;fish
Hexaplex nigritus;Hexaplex;nigritus;invert
Holothuroidea spp;Holothuroidea;spp;invert
Leiaster teres;Leiaster;teres;invert
Mithrodia bradleyi;Mithrodia;bradleyi;invert
Muricanthus ambiguus;Muricanthus;ambiguus;invert
Myripristis leiognathus;Myripristis;leiognathus;fish
Narcine entemedor;Narcine;entemedor;fish
Nodypecten subnodosus;Nodypecten;subnodosus;invert
Panulirus inflatus;Panulirus;inflatus;invert
Paralabrax maculatofasciatus;Paralabrax;maculatofasciatus;fish
Phyllonotus erythrostomus;Phyllonotus;erythrostomus;invert
Scarus rubroviolaceus;Scarus;rubroviolaceus;fish
Sphoeroides lobatus;Sphoeroides;lobatus;fish
Stegastes flavilatus;Stegastes;flavilatus;fish
Strombus galeatus;Strombus;galeatus;invert
Urobatis concentricus;Urobatis;concentricus;fish
